serial_number,year,month,day,facility_id,facility_name,facility_zip,score,grade,service_description,category,size,riskLevel,owner_id,owner_name
DAJ00E07B,2017,12,29,FA0170465,HABITAT COFFEE SHOP,90065,95,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0178123,GLASSELL COFFEE SHOP LLC
DAQOKRFZB,2017,12,29,FA0244690,REILLY'S,90045,92,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0208441,"AREAS SKYVIEW LAX JV, LLC"
DASJI4LUR,2017,12,29,FA0224109,STREET CHURROS,90028,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,LOW RISK,OW0228670,"STREETCHURROS, INC"
DA40LU5AT,2017,12,29,FA0252528,TRINITI ECHO PARK,90026-3227,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0246287,AMERICAN HOSPITALITY
DAXV2RMYC,2017,12,29,FA0252789,POLLEN,90026,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0246479,"POLLEN AND PASTRY , LLC"
DAMV56BMJ,2017,12,29,FA0245224,THE SPOT GRILL,90034,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0240313,LIQUOR CLUB INC
DAKSJB0AB,2017,12,29,FA0243779,7 ELEVEN #37215A,90043-4706,95,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",LOW RISK,OW0239028,"S & U INVESTMENTS, INC."
DAQOJLNCD,2017,12,29,FA0225926,CPK,90045,91,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0208441,"AREAS SKYVIEW LAX JV, LLC"
DAACRFWTS,2017,12,29,FA0248964,PHO LALA,90020,95,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0243289,"VANILLA #, INC"
DAE1JXAWW,2017,12,29,FA0002761,ABC DONUTS,90065,91,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0026313,"NOUNG, SAING HOW"
DAHKJFBMR,2017,12,28,FA0137987,UPSTAIRS,91604,95,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0101400,"CLARITY MANAGEMENT, INC."
DASL61OZ3,2017,12,28,FA0021238,EL POLLO LOCO,90027,97,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0010868,"EL POLLO LOCO, INC."
DAYOUBUYG,2017,12,28,FA0044972,POONG NYUN BAKERY,90006,95,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0019353,"KIM, JUNE"
DA3N76M8U,2017,12,28,FA0163115,EMC RESTAURANT GROUP LLC,90020,90,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0126785,EMC RESTAURANT GROUP LLC
DAK90PBPD,2017,12,28,FA0044449,POPULAR DONUTS,90043,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0020657,"LAM, TAK MENG"
DAA1OISIX,2017,12,28,FA0138657,CUSCATLECA BAKERY,90026,92,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0101989,"CUSCATLECA, INC."
DAFXWIUCE,2017,12,28,FA0062180,FOOD COURT TRAY WASHING AREA,90006,98,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,LOW RISK,OW0019896,KOREN SHOPPING CENTER INC
DAH1WNPMC,2017,12,28,FA0027722,HMS BOUNTY,90010,97,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0006456,"CASTANEDA, JUAN R"
DAKBEMZRR,2017,12,28,FA0047448,7 ELEVEN #27069,90064,85,B,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",LOW RISK,OW0026345,NRG CONVENIENCE STORES INC
DACQXFMEG,2017,12,28,FA0225480,AN'S CHAN BANG,90004,97,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0229742,AN'S CHAN BANG
DATY0A05H,2017,12,28,FA0138424,MURAKAMI,90046,92,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0101780,TADASHI MURAKAMI
DAF0GFYS4,2017,12,28,FA0248072,DELTA SKY CLUB T3,90045,93,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,MODERATE RISK,OW0242509,"DELTA AIR LINES, INC."
DAWIMW6RR,2017,12,28,FA0010340,CRYSTAL CAFE,90005,91,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0009137,CRYSTAL SPA AND SAUNA OF L.A
DAS9HSZUC,2017,12,28,FA0043262,ORANGE TREE CAFE,90010,92,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0016703,"HWANG, ALBERT"
